word	pos	tag
사오십	NR	
서넛	NR	
삼사	NR	
사오	NR	
서른	NR	
수백만	NR	
수천만	NR	
너댓	NR	
너덧	NR	
네댓	NR	
수백억	NR	
삼팔	NR	
수천억	NR	
세째	NR	
셋째	NR	
기십만	NR	
네째	NR	
넷째	NR	
십수	NR	
시오	NR	
하낫	NR	
하나	NR	
한둘	NR	
일곱째	NR	
두셋	NR	
두엇	NR	
두어	NR	
둘째	NR	
대여섯	NR	
억만	NR	
열댓	NR	
네	NR	
넷	NR	
여만	NR	
댓	NR	
륙	NR	
열세	NR	
몇	NR	
영	NR	
이삼	NR	
너더댓	NR	
수십조	NR	
수십억	NR	
즈믄	NR	
여남은	NR	
여섯째	NR	
아홉째	NR	
몇몇	NR	
기백만	NR	
여덟째	NR	
일고여덟	NR	
첫째	NR	
삼사만	NR	
삼사천	NR	
다섯째	NR	
예닐곱	NR	
칠순	NR	
